challenge_id,challenge_name,status,prize,days_length,reg_start,reg_end,reg_date,no_of_reg
30048438,"Web Arena UI - Fix Coder History Popup Problem",Completed,100,31,2015-01-14,2015-02-13,2015-01-21,2
30048438,"Web Arena UI - Fix Coder History Popup Problem",Completed,100,31,2015-01-14,2015-02-13,2015-01-22,1
30048438,"Web Arena UI - Fix Coder History Popup Problem",Completed,100,31,2015-01-14,2015-02-13,2015-01-23,3
30048438,"Web Arena UI - Fix Coder History Popup Problem",Completed,100,31,2015-01-14,2015-02-13,2015-01-25,2
30048438,"Web Arena UI - Fix Coder History Popup Problem",Completed,100,31,2015-01-14,2015-02-13,2015-01-26,2
30048438,"Web Arena UI - Fix Coder History Popup Problem",Completed,100,31,2015-01-14,2015-02-13,2015-01-27,3
30048438,"Web Arena UI - Fix Coder History Popup Problem",Completed,100,31,2015-01-14,2015-02-13,2015-01-30,1
30048439,"Web Arena UI Prototype - Fix Small DOT in Scrollbar",Completed,30,31,2015-01-14,2015-02-13,2015-01-14,2
30048440,"Web Arena UI - Sort Rounds Drop down  by Round Name In Leaderboard",Completed,30,31,2015-01-14,2015-02-13,2015-01-14,9
30048440,"Web Arena UI - Sort Rounds Drop down  by Round Name In Leaderboard",Completed,30,31,2015-01-14,2015-02-13,2015-01-15,1
30048469,"TopCoder Competition Engine - Resize the Round Dialog To Show the Content Properly","Cancelled - Requirem",50,31,2015-01-15,2015-02-14,2015-01-15,2
30048469,"TopCoder Competition Engine - Resize the Round Dialog To Show the Content Properly","Cancelled - Requirem",50,31,2015-01-15,2015-02-14,2015-01-16,5
30048470,"Web Arena - Fix Problem to Change and Load Round",Completed,100,31,2015-01-15,2015-02-14,2015-01-16,5
30048470,"Web Arena - Fix Problem to Change and Load Round",Completed,100,31,2015-01-15,2015-02-14,2015-01-17,3
30048470,"Web Arena - Fix Problem to Change and Load Round",Completed,100,31,2015-01-15,2015-02-14,2015-01-18,4
30048470,"Web Arena - Fix Problem to Change and Load Round",Completed,100,31,2015-01-15,2015-02-14,2015-01-19,1
30048497,"TC API - Create SRM Round API Update",Completed,100,31,2015-01-19,2015-02-18,2015-01-19,3
30048498,"TC API - Get Rounds API Update",Completed,100,31,2015-01-19,2015-02-18,2015-01-19,4
30048498,"TC API - Get Rounds API Update",Completed,100,31,2015-01-19,2015-02-18,2015-01-20,1
30048499,"TC API - Modify SRM Round API Update",Completed,60,31,2015-01-19,2015-02-18,2015-01-19,7
30048500,"TC API - List SRM Problems API Update",Completed,60,31,2015-01-19,2015-02-18,2015-01-19,5
30048527,"TC API - Create SRM Contest API and Modify SRM Contest API Update",Completed,60,31,2015-01-21,2015-02-20,2015-01-21,3
30048540,"TC API - Set Round Language API Update",Completed,30,31,2015-01-22,2015-02-21,2015-01-22,1
30048541,"TC API - Set Round Segments API Update",Completed,30,31,2015-01-22,2015-02-21,2015-01-22,1
30048542,"TC API - List Round Problems API Update",Completed,30,31,2015-01-22,2015-02-21,2015-01-22,3
30048543,"TC API - List Round Components API Update",Completed,30,31,2015-01-22,2015-02-21,2015-01-22,2
30048544,"TC API - Set Round Components API Update",Completed,30,31,2015-01-22,2015-02-21,2015-01-22,1
30048545,"TC API - Set Round Terms API Update",Completed,30,31,2015-01-22,2015-02-21,2015-01-22,1
30048546,"TC API - Get Round Questions API Update",Completed,30,31,2015-01-22,2015-02-21,2015-01-22,1
30048547,"TC API - Add Round Question API Update",Completed,30,31,2015-01-22,2015-02-21,2015-01-22,1
30048548,"TC API - Delete Round Question API Update",Completed,30,31,2015-01-22,2015-02-21,2015-01-22,1
30048549,"TC API - Delete Round Question Answer API Update",Completed,30,31,2015-01-22,2015-02-21,2015-01-22,2
30048550,"TC API - Get Round Question Answers API Update",Completed,30,31,2015-01-22,2015-02-21,2015-01-22,2
